date,value
2022-08-12,25616049.0
2022-08-13,23064461.0
2022-08-14,21214947.0
2022-08-15,23121594.0
2022-08-16,20072295.0
2022-08-17,29242566.0
2022-08-18,32002529.0
2022-08-19,28657946.0
2022-08-20,20595890.0
2022-08-21,22492218.0
2022-08-22,27625770.0
2022-08-23,27774331.0
2022-08-24,26353761.0
2022-08-25,25136135.0
2022-08-26,28138263.0
2022-08-27,23215224.0
2022-08-28,20209024.0
2022-08-29,27473889.0
2022-08-30,26300108.0
2022-08-31,24240010.0
2022-09-01,18146917.0
2022-09-02,21491377.0
2022-09-03,20998575.0
2022-09-04,16618162.0
2022-09-05,21003818.0
2022-09-06,18475380.0
2022-09-07,19570025.0
2022-09-08,25871182.0
2022-09-09,23943256.0
2022-09-10,18496077.0
2022-09-11,15536743.0
2022-09-12,22091266.0
2022-09-13,22708881.0
2022-09-14,21602312.0
2022-09-15,24980832.0
2022-09-16,21110533.0
2022-09-17,23112173.0
2022-09-18,16526090.0
2022-09-19,18440327.0
2022-09-20,21767284.0
2022-09-21,21153579.0
2022-09-22,22995905.0
2022-09-23,22006027.0
2022-09-24,19874810.0
2022-09-25,17339120.0
2022-09-26,23662755.0
2022-09-27,23976601.0
2022-09-28,25225271.0
2022-09-29,28630024.0
2022-09-30,32810750.0
2022-10-01,20876852.0
2022-10-02,18144203.0
2022-10-03,20257695.0
2022-10-04,22889858.0
2022-10-05,22296331.0
2022-10-06,17382095.0
2022-10-07,18610974.0
2022-10-08,14686651.0
2022-10-09,11106488.0
2022-10-10,12919700.0
2022-10-11,15305030.0
2022-10-12,17450109.0
2022-10-13,16733129.0
2022-10-14,18072851.0
2022-10-15,16536609.0
2022-10-16,12547088.0
2022-10-17,15808513.0
2022-10-18,16922541.0
2022-10-19,17018299.0
2022-10-20,17258724.0
2022-10-21,17325740.0
2022-10-22,15467288.0
2022-10-23,11117108.0
2022-10-24,15181641.0
2022-10-25,16317961.0
2022-10-26,17056510.0
2022-10-27,18613766.0
2022-10-28,18525505.0
2022-10-29,13508465.0
2022-10-30,12026900.0
2022-10-31,13770175.0
2022-11-01,15575424.0
2022-11-02,14632974.0
2022-11-03,14469824.0
2022-11-04,15969480.0
2022-11-05,13141507.0
2022-11-06,9179483.0
2022-11-07,11839236.0
2022-11-08,12746831.0
2022-11-09,16489939.0
2022-11-10,14116775.0
2022-11-11,14258307.0
2022-11-12,12194213.0
2022-11-13,8978838.0
2022-11-14,12169376.0
2022-11-15,14842304.0
2022-11-16,14478049.0
2022-11-17,13769955.0
2022-11-18,15101889.0
2022-11-19,13042566.0
2022-11-20,11756671.0
2022-11-21,15234711.0
2022-11-22,16288565.0
2022-11-23,14242485.0
2022-11-24,15180196.0
2022-11-25,16748629.0
2022-11-26,15472085.0
2022-11-27,11339896.0
2022-11-28,14154026.0
2022-11-29,15049261.0
2022-11-30,20488760.0
2022-12-01,24756032.0
2022-12-02,25322102.0
2022-12-03,28111290.0
2022-12-04,28726840.0
2022-12-05,12460977.0
2022-12-06,13833145.0
2022-12-07,14689985.0
2022-12-08,14893997.0
2022-12-09,17438301.0
2022-12-10,15792345.0
2022-12-11,11919963.0
2022-12-12,15992251.0
2022-12-13,17526308.0
2022-12-14,17299308.0
2022-12-15,16291971.0
2022-12-16,23544863.0
2022-12-17,13714279.0
2022-12-18,17841360.0
2022-12-19,12114420.0
2022-12-20,20859716.0
2022-12-21,22981748.0
2022-12-22,17168780.0
2022-12-23,16673401.0
2022-12-24,11511674.0
2022-12-25,7767681.0
2022-12-26,11229496.0
2022-12-27,13776728.0
2022-12-28,10890059.0
2022-12-29,9860766.0
2022-12-30,8620048.0
2022-12-31,5851406.0
2023-01-01,4346008.0
2023-01-02,32863175.0
2023-01-03,7684992.0
2023-01-04,10814721.0
2023-01-05,13790240.0
2023-01-06,16200602.0
2023-01-07,10581503.0
2023-01-08,8071665.0
2023-01-09,10967793.0
2023-01-10,13418468.0
2023-01-11,14572832.0
2023-01-12,13797538.0
2023-01-13,9778440.0
2023-01-14,7559357.0
